Ea (kJ/mol),T1 (°C),T2 (°C),D2/D1,Percent Increase
40.0,32.0,38.0,1.3553112351427203,35.53112351427203
40.0,32.0,39.0,1.424137907161672,42.4137907161672
40.0,32.0,40.0,1.4959864399307783,49.59864399307783
40.0,33.0,36.0,1.164741589956365,16.47415899563649
40.0,33.0,37.0,1.2246765170637874,22.467651706378746
40.0,33.0,38.0,1.2872803053340167,28.72803053340167
40.0,33.0,39.0,1.3526521675855316,35.265216758553166
40.0,33.0,40.0,1.4208942058735685,42.089420587356855
40.0,34.0,37.0,1.163593031935467,16.359303193546705
40.0,34.0,38.0,1.2230743160043833,22.30743160043833
40.0,34.0,39.0,1.2851856101630073,28.518561016300726
40.0,34.0,40.0,1.3500239238978147,35.00239238978147
40.0,35.0,38.0,1.1624567001484052,16.24567001484052
40.0,35.0,39.0,1.2214896543236295,22.148965432362957
40.0,35.0,40.0,1.2831144724079309,28.311447240793086
40.0,36.0,39.0,1.161332418494824,16.133241849482395
40.0,36.0,40.0,1.2199222712797608,21.992227127976083
40.0,37.0,40.0,1.1602200140819399,16.022001408193987
50.0,15.0,18.0,1.2399278048928422,23.992780489284215
50.0,15.0,19.0,1.3307677984272912,33.076779842729124
50.0,15.0,20.0,1.4275741606015981,42.75741606015981
50.0,15.0,21.0,1.53069167783599,53.069167783599
50.0,15.0,22.0,1.6404821847095676,64.04821847095677
50.0,15.0,23.0,1.7573252526108942,75.73252526108942
50.0,15.0,24.0,1.8816188991064036,88.16188991064035
50.0,15.0,25.0,2.013780318377907,101.37803183779069
50.0,16.0,19.0,1.238097409347265,23.8097409347265
50.0,16.0,20.0,1.3281624878365315,32.816248783653144
50.0,16.0,21.0,1.4240992328472712,42.40992328472713
